ts;id;resource;event
Thu Feb 24 00:01:15 CET 2022;448;system;new_order
Thu Feb 24 00:01:15 CET 2022;448;system;direct_to_line2
Thu Feb 24 00:01:15 CET 2022;448;agv;transport_to_cell2_buffer
Thu Feb 24 00:05:06 CET 2022;448;cell2_buffer;enter_cell2
Thu Feb 24 00:05:06 CET 2022;448;cell2;cell2_operation
Thu Feb 24 00:05:45 CET 2022;449;system;new_order
Thu Feb 24 00:05:45 CET 2022;449;system;direct_to_line2
Thu Feb 24 00:05:45 CET 2022;449;agv;transport_to_cell2_buffer
Thu Feb 24 00:09:08 CET 2022;450;system;new_order
Thu Feb 24 00:09:08 CET 2022;450;system;direct_to_line1
Thu Feb 24 00:09:13 CET 2022;450;agv;transport_to_cell1_buffer
Thu Feb 24 00:09:48 CET 2022;449;cell2_buffer;enter_cell2
Thu Feb 24 00:09:48 CET 2022;449;cell2;cell2_operation
Thu Feb 24 00:09:54 CET 2022;450;cell1_buffer;enter_cell1
Thu Feb 24 00:09:54 CET 2022;450;cell1;cell1_operation
Thu Feb 24 00:09:54 CET 2022;448;system;order_completed
Thu Feb 24 00:15:00 CET 2022;449;system;order_completed
Thu Feb 24 00:16:30 CET 2022;451;system;new_order
Thu Feb 24 00:16:30 CET 2022;451;system;direct_to_line2
Thu Feb 24 00:16:30 CET 2022;451;agv;transport_to_cell2_buffer
Thu Feb 24 00:16:41 CET 2022;452;system;new_order
Thu Feb 24 00:16:41 CET 2022;452;system;direct_to_line1
Thu Feb 24 00:17:44 CET 2022;450;system;order_completed
Thu Feb 24 00:18:23 CET 2022;451;cell2_buffer;enter_cell2
Thu Feb 24 00:18:23 CET 2022;452;agv;transport_to_cell1_buffer
Thu Feb 24 00:18:23 CET 2022;451;cell2;cell2_operation
Thu Feb 24 00:19:41 CET 2022;453;system;new_order
Thu Feb 24 00:19:41 CET 2022;453;system;direct_to_line1
Thu Feb 24 00:20:23 CET 2022;452;cell1_buffer;enter_cell1
Thu Feb 24 00:20:23 CET 2022;453;agv;transport_to_cell1_buffer
Thu Feb 24 00:20:23 CET 2022;452;cell1;cell1_operation
Thu Feb 24 00:24:41 CET 2022;454;system;new_order
Thu Feb 24 00:24:41 CET 2022;454;system;direct_to_line2
Thu Feb 24 00:24:41 CET 2022;454;agv;transport_to_cell2_buffer
Thu Feb 24 00:25:31 CET 2022;455;system;new_order
Thu Feb 24 00:25:31 CET 2022;455;system;direct_to_line2
Thu Feb 24 00:26:01 CET 2022;451;system;order_completed
Thu Feb 24 00:27:11 CET 2022;453;cell1_buffer;enter_cell1
Thu Feb 24 00:27:11 CET 2022;453;cell1;cell1_operation
Thu Feb 24 00:27:17 CET 2022;452;system;order_completed
