ts;resource;state
Thu Feb 24 00:01:15 CET 2022;agv;busy
Thu Feb 24 00:05:06 CET 2022;agv;idle
Thu Feb 24 00:05:06 CET 2022;cell2;busy
Thu Feb 24 00:05:45 CET 2022;agv;busy
Thu Feb 24 00:09:13 CET 2022;agv;idle
Thu Feb 24 00:09:13 CET 2022;agv;busy
Thu Feb 24 00:09:48 CET 2022;cell2;idle
Thu Feb 24 00:09:48 CET 2022;cell2;busy
Thu Feb 24 00:09:54 CET 2022;agv;idle
Thu Feb 24 00:09:54 CET 2022;cell1;busy
Thu Feb 24 00:14:54 CET 2022;cell2;idle
Thu Feb 24 00:16:30 CET 2022;agv;busy
Thu Feb 24 00:17:38 CET 2022;cell1;idle
Thu Feb 24 00:18:23 CET 2022;agv;idle
Thu Feb 24 00:18:23 CET 2022;cell2;busy
Thu Feb 24 00:18:23 CET 2022;agv;busy
Thu Feb 24 00:20:23 CET 2022;agv;idle
Thu Feb 24 00:20:23 CET 2022;cell1;busy
Thu Feb 24 00:20:23 CET 2022;agv;busy
Thu Feb 24 00:22:59 CET 2022;agv;idle
Thu Feb 24 00:24:41 CET 2022;agv;busy
Thu Feb 24 00:25:55 CET 2022;cell2;idle
Thu Feb 24 00:25:55 CET 2022;cell2;failure
Thu Feb 24 00:27:11 CET 2022;cell1;idle
Thu Feb 24 00:27:11 CET 2022;cell1;busy
Thu Feb 24 00:27:52 CET 2022;agv;idle
Thu Feb 24 00:27:52 CET 2022;agv;busy
Thu Feb 24 00:30:46 CET 2022;agv;idle
Thu Feb 24 00:31:16 CET 2022;cell1;idle
Thu Feb 24 00:34:32 CET 2022;cell1;failure
Thu Feb 24 00:35:25 CET 2022;cell2;idle
Thu Feb 24 00:35:25 CET 2022;cell2;busy
Thu Feb 24 00:40:42 CET 2022;cell2;idle
Thu Feb 24 00:40:42 CET 2022;cell2;busy
Thu Feb 24 00:41:48 CET 2022;cell1;idle
Thu Feb 24 00:46:45 CET 2022;agv;busy
Thu Feb 24 00:47:23 CET 2022;cell2;idle
Thu Feb 24 00:49:59 CET 2022;agv;idle
Thu Feb 24 00:49:59 CET 2022;cell2;busy
Thu Feb 24 00:49:59 CET 2022;agv;busy
Thu Feb 24 00:54:18 CET 2022;agv;idle
Thu Feb 24 00:54:18 CET 2022;agv;busy
Thu Feb 24 00:54:46 CET 2022;cell2;idle
Thu Feb 24 00:54:46 CET 2022;cell2;failure
Thu Feb 24 00:59:01 CET 2022;agv;idle
Thu Feb 24 00:59:01 CET 2022;agv;busy
Thu Feb 24 01:02:53 CET 2022;agv;idle
Thu Feb 24 01:02:53 CET 2022;cell1;busy
Thu Feb 24 01:02:53 CET 2022;agv;busy
Thu Feb 24 01:03:56 CET 2022;agv;idle
Thu Feb 24 01:03:56 CET 2022;agv;busy
Thu Feb 24 01:04:50 CET 2022;agv;idle
Thu Feb 24 01:04:54 CET 2022;cell2;idle
Thu Feb 24 01:04:54 CET 2022;cell2;busy
Thu Feb 24 01:08:50 CET 2022;agv;busy
Thu Feb 24 01:09:08 CET 2022;cell2;idle
Thu Feb 24 01:09:08 CET 2022;cell2;busy
Thu Feb 24 01:10:51 CET 2022;cell1;idle
Thu Feb 24 01:10:51 CET 2022;cell1;busy
Thu Feb 24 01:10:58 CET 2022;agv;idle
Thu Feb 24 01:15:28 CET 2022;agv;busy
Thu Feb 24 01:15:28 CET 2022;cell2;idle
Thu Feb 24 01:17:38 CET 2022;agv;idle
Thu Feb 24 01:18:11 CET 2022;cell1;idle
Thu Feb 24 01:18:11 CET 2022;cell1;busy
Thu Feb 24 01:19:16 CET 2022;agv;busy
Thu Feb 24 01:22:14 CET 2022;agv;idle
Thu Feb 24 01:22:14 CET 2022;cell2;busy
Thu Feb 24 01:24:38 CET 2022;cell1;idle
Thu Feb 24 01:24:38 CET 2022;cell1;busy
Thu Feb 24 01:25:54 CET 2022;agv;busy
Thu Feb 24 01:28:17 CET 2022;cell2;idle
Thu Feb 24 01:28:17 CET 2022;cell2;failure
Thu Feb 24 01:29:05 CET 2022;agv;idle
Thu Feb 24 01:29:45 CET 2022;cell1;idle
Thu Feb 24 01:29:45 CET 2022;cell1;busy
Thu Feb 24 01:34:27 CET 2022;agv;busy
Thu Feb 24 01:36:10 CET 2022;cell1;idle
Thu Feb 24 01:36:10 CET 2022;cell1;busy
Thu Feb 24 01:39:18 CET 2022;cell2;idle
Thu Feb 24 01:40:10 CET 2022;agv;idle
Thu Feb 24 01:40:10 CET 2022;cell2;busy
Thu Feb 24 01:40:10 CET 2022;agv;busy
Thu Feb 24 01:42:15 CET 2022;agv;idle
Thu Feb 24 01:43:12 CET 2022;cell1;idle
Thu Feb 24 01:43:12 CET 2022;cell1;busy
Thu Feb 24 01:46:29 CET 2022;cell2;idle
Thu Feb 24 01:47:02 CET 2022;agv;busy
Thu Feb 24 01:47:02 CET 2022;agv;idle
Thu Feb 24 01:49:31 CET 2022;cell1;idle
Thu Feb 24 01:49:31 CET 2022;cell1;busy
Thu Feb 24 01:50:18 CET 2022;agv;failure
Thu Feb 24 01:53:15 CET 2022;cell2;failure
Thu Feb 24 01:54:17 CET 2022;cell1;idle
Thu Feb 24 02:02:47 CET 2022;agv;idle
Thu Feb 24 02:02:47 CET 2022;agv;busy
Thu Feb 24 02:03:17 CET 2022;agv;idle
Thu Feb 24 02:03:17 CET 2022;cell1;busy
Thu Feb 24 02:03:17 CET 2022;agv;busy
Thu Feb 24 02:04:02 CET 2022;cell2;idle
Thu Feb 24 02:06:56 CET 2022;agv;idle
Thu Feb 24 02:06:56 CET 2022;cell2;busy
Thu Feb 24 02:06:56 CET 2022;agv;busy
Thu Feb 24 02:07:51 CET 2022;agv;idle
Thu Feb 24 02:09:17 CET 2022;cell1;idle
Thu Feb 24 02:12:31 CET 2022;agv;busy
Thu Feb 24 02:12:53 CET 2022;cell2;idle
Thu Feb 24 02:12:53 CET 2022;cell2;busy
Thu Feb 24 02:13:54 CET 2022;agv;idle
Thu Feb 24 02:13:54 CET 2022;cell1;busy
Thu Feb 24 02:14:36 CET 2022;agv;busy
Thu Feb 24 02:17:17 CET 2022;agv;idle
Thu Feb 24 02:18:52 CET 2022;cell2;idle
Thu Feb 24 02:18:52 CET 2022;cell2;busy
Thu Feb 24 02:19:00 CET 2022;cell1;idle
Thu Feb 24 02:24:07 CET 2022;agv;busy
Thu Feb 24 02:25:31 CET 2022;cell2;idle
Thu Feb 24 02:25:31 CET 2022;cell2;failure
Thu Feb 24 02:25:47 CET 2022;agv;idle
Thu Feb 24 02:32:16 CET 2022;agv;busy
Thu Feb 24 02:33:55 CET 2022;agv;idle
Thu Feb 24 02:33:55 CET 2022;cell1;busy
Thu Feb 24 02:33:57 CET 2022;agv;busy
Thu Feb 24 02:36:39 CET 2022;cell2;idle
Thu Feb 24 02:36:39 CET 2022;cell2;busy
Thu Feb 24 02:37:02 CET 2022;agv;idle
Thu Feb 24 02:37:46 CET 2022;agv;busy
Thu Feb 24 02:39:23 CET 2022;cell1;idle
Thu Feb 24 02:39:23 CET 2022;cell1;busy
Thu Feb 24 02:39:53 CET 2022;agv;idle
Thu Feb 24 02:40:26 CET 2022;agv;busy
Thu Feb 24 02:42:41 CET 2022;agv;idle
Thu Feb 24 02:42:41 CET 2022;agv;busy
Thu Feb 24 02:43:03 CET 2022;cell2;idle
Thu Feb 24 02:44:29 CET 2022;cell1;idle
Thu Feb 24 02:44:29 CET 2022;cell1;busy
Thu Feb 24 02:48:09 CET 2022;agv;idle
Thu Feb 24 02:48:09 CET 2022;cell2;busy
Thu Feb 24 02:48:09 CET 2022;agv;busy
Thu Feb 24 02:48:33 CET 2022;agv;idle
Thu Feb 24 02:48:33 CET 2022;agv;busy
Thu Feb 24 02:50:47 CET 2022;agv;idle
Thu Feb 24 02:50:47 CET 2022;agv;busy
Thu Feb 24 02:50:56 CET 2022;cell1;idle
Thu Feb 24 02:50:56 CET 2022;cell1;busy
Thu Feb 24 02:53:02 CET 2022;agv;idle
Thu Feb 24 02:53:02 CET 2022;agv;busy
Thu Feb 24 02:55:03 CET 2022;cell2;idle
Thu Feb 24 02:55:03 CET 2022;cell2;failure
Thu Feb 24 02:57:05 CET 2022;agv;idle
Thu Feb 24 02:57:05 CET 2022;agv;busy
Thu Feb 24 02:57:27 CET 2022;cell1;idle
Thu Feb 24 02:57:27 CET 2022;cell1;busy
Thu Feb 24 02:59:19 CET 2022;agv;idle
Thu Feb 24 03:03:18 CET 2022;cell1;idle
Thu Feb 24 03:03:18 CET 2022;cell1;busy
Thu Feb 24 03:05:36 CET 2022;cell2;idle
Thu Feb 24 03:05:36 CET 2022;cell2;busy
Thu Feb 24 03:07:51 CET 2022;agv;busy
Thu Feb 24 03:10:16 CET 2022;cell1;idle
Thu Feb 24 03:10:50 CET 2022;agv;idle
Thu Feb 24 03:10:50 CET 2022;cell1;busy
Thu Feb 24 03:12:30 CET 2022;agv;busy
Thu Feb 24 03:13:56 CET 2022;cell2;idle
Thu Feb 24 03:13:56 CET 2022;cell2;busy
Thu Feb 24 03:16:37 CET 2022;agv;idle
Thu Feb 24 03:16:37 CET 2022;agv;busy
Thu Feb 24 03:18:12 CET 2022;cell1;idle
Thu Feb 24 03:18:57 CET 2022;agv;idle
Thu Feb 24 03:18:57 CET 2022;cell1;busy
Thu Feb 24 03:20:55 CET 2022;agv;busy
Thu Feb 24 03:21:07 CET 2022;cell2;idle
Thu Feb 24 03:21:07 CET 2022;cell2;busy
Thu Feb 24 03:23:29 CET 2022;agv;idle
Thu Feb 24 03:24:29 CET 2022;cell2;idle
Thu Feb 24 03:24:29 CET 2022;cell2;busy
Thu Feb 24 03:25:14 CET 2022;cell1;idle
Thu Feb 24 03:29:31 CET 2022;cell2;idle
Thu Feb 24 03:29:31 CET 2022;cell2;failure
Thu Feb 24 03:34:54 CET 2022;agv;busy
Thu Feb 24 03:37:05 CET 2022;agv;idle
Thu Feb 24 03:37:09 CET 2022;agv;busy
Thu Feb 24 03:39:03 CET 2022;agv;idle
Thu Feb 24 03:39:03 CET 2022;cell1;busy
Thu Feb 24 03:39:03 CET 2022;agv;busy
Thu Feb 24 03:39:31 CET 2022;cell2;idle
Thu Feb 24 03:39:31 CET 2022;cell2;busy
Thu Feb 24 03:41:16 CET 2022;agv;idle
Thu Feb 24 03:42:00 CET 2022;agv;busy
Thu Feb 24 03:44:02 CET 2022;cell2;idle
Thu Feb 24 03:44:02 CET 2022;cell2;busy
Thu Feb 24 03:45:19 CET 2022;cell1;idle
Thu Feb 24 03:45:19 CET 2022;cell1;busy
Thu Feb 24 03:45:58 CET 2022;agv;idle
Thu Feb 24 03:45:58 CET 2022;agv;busy
Thu Feb 24 03:48:17 CET 2022;cell2;idle
Thu Feb 24 03:48:17 CET 2022;cell2;busy
Thu Feb 24 03:49:48 CET 2022;agv;idle
Thu Feb 24 03:49:48 CET 2022;agv;busy
Thu Feb 24 03:50:21 CET 2022;cell1;idle
Thu Feb 24 03:51:51 CET 2022;agv;idle
Thu Feb 24 03:51:51 CET 2022;agv;busy
Thu Feb 24 03:53:33 CET 2022;cell2;idle
Thu Feb 24 03:53:33 CET 2022;cell2;busy
Thu Feb 24 03:54:47 CET 2022;agv;idle
Thu Feb 24 03:54:47 CET 2022;cell1;busy
Thu Feb 24 03:54:58 CET 2022;agv;busy
Thu Feb 24 03:56:55 CET 2022;agv;idle
Thu Feb 24 03:56:55 CET 2022;agv;busy
Thu Feb 24 03:58:29 CET 2022;agv;idle
Thu Feb 24 03:59:09 CET 2022;cell2;idle
Thu Feb 24 03:59:09 CET 2022;cell2;failure
Thu Feb 24 04:00:30 CET 2022;cell1;idle
Thu Feb 24 04:00:30 CET 2022;cell1;failure
